Year,av_annual_t,av_5_annual_t,Annual_lower_anomaly,Annual_upper_anomaly
1831,-0.10899999999999999,-0.20204166666666665,-0.8346666666666667,0.6166666666666668
1832,-0.2862916666666666,-0.18974999999999997,-1.10225,0.5296666666666667
1833,-0.14283333333333334,-0.28241666666666665,-0.7649166666666667,0.4792500000000001
1834,0.045000000000000005,-0.31583333333333335,-0.43216666666666664,0.5221666666666667
1835,-0.33370833333333333,-0.32908333333333334,-1.0967500000000001,0.4293333333333333
1836,-0.29066666666666663,-0.3245833333333333,-1.0720833333333333,0.49074999999999996
1837,-0.3794583333333334,-0.3522083333333333,-1.3557499999999998,0.5968333333333334
1838,-0.20362499999999994,-0.3405,-0.9790833333333335,0.5718333333333333
1839,-0.09875000000000002,-0.3283749999999999,-0.7845833333333333,0.5870833333333333
1840,-0.26325,-0.26549999999999996,-0.9773333333333333,0.45083333333333325
1841,-0.22825000000000004,-0.2397916666666667,-0.9356666666666665,0.4791666666666667
1842,-0.08516666666666667,-0.25254166666666666,-0.6203333333333333,0.44999999999999996
1843,-0.12216666666666666,-0.22295833333333334,-0.6561666666666667,0.41183333333333344
1844,-0.22866666666666666,-0.16470833333333332,-0.9144999999999999,0.45716666666666667
1845,-0.12237500000000003,-0.15754166666666666,-0.7155833333333335,0.4708333333333334
1846,0.11179166666666666,-0.15162499999999998,-0.23616666666666666,0.45974999999999994
1847,-0.04195833333333334,-0.11345833333333329,-0.5605000000000001,0.4765833333333333
1848,-0.05433333333333332,-0.09916666666666667,-0.63275,0.5240833333333333
1849,-0.08604166666666664,-0.09949999999999999,-0.7060833333333334,0.5340000000000001
1850,-0.1095,-0.0725,-0.6988333333333333,0.4798333333333334
1851,0.06245833333333332,-0.06604166666666667,-0.5601666666666666,0.6850833333333334
1852,0.03945833333333334,-0.05220833333333333,-0.6120833333333334,0.691
1853,-0.051333333333333335,-0.04779166666666667,-0.5760000000000001,0.4733333333333332
1854,-0.01158333333333333,-0.08558333333333334,-0.34958333333333336,0.3264166666666667
1855,-0.052666666666666674,-0.12616666666666668,-0.4159999999999999,0.3106666666666667
1856,-0.12791666666666665,-0.1270416666666667,-0.6611666666666667,0.4053333333333333
1857,-0.16187500000000002,-0.139,-0.7411666666666665,0.4174166666666667
1858,-0.052791666666666674,-0.158,-0.40666666666666673,0.3010833333333333
1859,-0.05004166666666668,-0.18437499999999998,-0.3565833333333333,0.2565
1860,-0.143375,-0.2004166666666666,-0.6254166666666666,0.33866666666666667
1861,-0.24379166666666666,-0.21441666666666667,-0.7857500000000001,0.29816666666666664
1862,-0.21512499999999998,-0.22341666666666668,-0.7557499999999999,0.32550000000000007
1863,-0.10016666666666667,-0.211875,-0.53125,0.33091666666666664
1864,-0.11375,-0.16945833333333335,-0.5357500000000001,0.30824999999999997
1865,-0.04779166666666667,-0.12104166666666664,-0.43249999999999994,0.3369166666666667
1866,0.021833333333333333,-0.09437500000000003,-0.32925000000000004,0.3729166666666666
1867,0.03395833333333332,-0.05962499999999999,-0.23283333333333342,0.30075
1868,0.015291666666666662,-0.05683333333333334,-0.2838333333333333,0.3144166666666666
1869,0.02324999999999999,-0.07658333333333334,-0.26616666666666666,0.3126666666666667
1870,-0.08187500000000002,-0.10491666666666667,-0.4635,0.29975
1871,-0.120625,-0.11775000000000001,-0.5376666666666667,0.2964166666666666
1872,-0.09770833333333333,-0.12791666666666668,-0.44249999999999995,0.24708333333333332
1873,-0.05358333333333335,-0.14775000000000002,-0.327,0.21983333333333333
1874,-0.027750000000000007,-0.1505,-0.27233333333333326,0.21683333333333332
1875,-0.18558333333333332,-0.11395833333333337,-0.5779166666666666,0.20675000000000002
1876,-0.13612500000000002,-0.060458333333333336,-0.4662499999999999,0.19400000000000003
1877,0.05491666666666667,-0.07666666666666667,-0.07116666666666664,0.18099999999999997
1878,0.17858333333333334,-0.06870833333333333,0.16691666666666669,0.19025
1879,-0.11820833333333332,-0.050916666666666666,-0.41583333333333333,0.17941666666666664
1880,-0.1265,-0.09720833333333334,-0.4708333333333334,0.21783333333333335
1881,-0.049708333333333334,-0.17333333333333334,-0.26991666666666664,0.1705
1882,-0.16808333333333328,-0.20762500000000003,-0.5119166666666666,0.17574999999999996
1883,-0.22362499999999996,-0.22783333333333336,-0.6058333333333333,0.15858333333333333
1884,-0.3120833333333333,-0.2612916666666667,-0.7795,0.15533333333333332
